ID;descripcion
OI;Orden de Inicio
AR;Acta Reunión Pre-construcción
AU;Autorizaciones
CA;Cartelería
PE;Permisos
CP;Control de Pólizas / Seguros
PT;Plan de trabajo
IN;Ingeniería
HS;Higiene y Seguridad
SU;Sustentabilidad
EN;Energía
CE;Control y Ensayos 
EO;Ejecución de Obra
CM;Control de Mediciones
CR;Certificaciones
RE;Redeterminaciones
MC;Modificaciones Contractuales de Monto 
AP;Ampliación de Plazo
SO;Suspensión de Obra 
FS;Fin de Suspensión 
AD;Adenda 
CO;CAO
RP;Recepción Provisoria de Obra
RD;Recepción Definitiva de Obra
OR;Otras referencias
